,month,year,City,country_id,Country,Latitude,Longitude,AverageTemperatureCel,AverageTemperatureUncertaintyCel
253,12,1874,Auckland,NEW,New Zealand,36.17S,175.03E,16.6,0.9539999999999991
254,1,1875,Auckland,NEW,New Zealand,36.17S,175.03E,18.099999999999998,0.9129999999999998
255,2,1875,Auckland,NEW,New Zealand,36.17S,175.03E,19.388999999999996,1.2310000000000008
256,3,1875,Auckland,NEW,New Zealand,36.17S,175.03E,17.96,0.7740000000000001
257,4,1875,Auckland,NEW,New Zealand,36.17S,175.03E,17.362000000000002,1.0569999999999997
258,5,1875,Auckland,NEW,New Zealand,36.17S,175.03E,14.552000000000001,0.7909999999999999
259,6,1875,Auckland,NEW,New Zealand,36.17S,175.03E,12.935,0.9840000000000002
260,7,1875,Auckland,NEW,New Zealand,36.17S,175.03E,12.422,0.8840000000000003
261,8,1875,Auckland,NEW,New Zealand,36.17S,175.03E,11.279,0.47799999999999915
262,9,1875,Auckland,NEW,New Zealand,36.17S,175.03E,11.549000000000001,0.614000000000002
263,10,1875,Auckland,NEW,New Zealand,36.17S,175.03E,13.237,0.603
264,11,1875,Auckland,NEW,New Zealand,36.17S,175.03E,14.330999999999998,1.0079999999999996
265,12,1875,Auckland,NEW,New Zealand,36.17S,175.03E,17.591,0.9219999999999986
266,1,1876,Auckland,NEW,New Zealand,36.17S,175.03E,18.537999999999997,0.9800000000000016
267,2,1876,Auckland,NEW,New Zealand,36.17S,175.03E,18.995,0.9439999999999986
268,3,1876,Auckland,NEW,New Zealand,36.17S,175.03E,18.629,0.9890000000000003
269,4,1876,Auckland,NEW,New Zealand,36.17S,175.03E,16.629,0.9530000000000014
270,5,1876,Auckland,NEW,New Zealand,36.17S,175.03E,14.603999999999997,0.6600000000000014
271,6,1876,Auckland,NEW,New Zealand,36.17S,175.03E,12.806999999999999,1.4009999999999994
272,7,1876,Auckland,NEW,New Zealand,36.17S,175.03E,12.166999999999998,1.0659999999999985
273,8,1876,Auckland,NEW,New Zealand,36.17S,175.03E,11.792,0.8119999999999984
274,9,1876,Auckland,NEW,New Zealand,36.17S,175.03E,12.532999999999998,0.44200000000000017
275,10,1876,Auckland,NEW,New Zealand,36.17S,175.03E,14.711,0.8130000000000001
276,11,1876,Auckland,NEW,New Zealand,36.17S,175.03E,16.021,1.0720000000000003
277,12,1876,Auckland,NEW,New Zealand,36.17S,175.03E,16.529000000000003,1.4310000000000005
278,1,1877,Auckland,NEW,New Zealand,36.17S,175.03E,18.091,1.3959999999999992
279,2,1877,Auckland,NEW,New Zealand,36.17S,175.03E,18.605999999999995,1.5430000000000001
280,3,1877,Auckland,NEW,New Zealand,36.17S,175.03E,18.317999999999998,0.7629999999999981
281,4,1877,Auckland,NEW,New Zealand,36.17S,175.03E,15.521999999999998,1.2739999999999994
282,5,1877,Auckland,NEW,New Zealand,36.17S,175.03E,13.672,0.7489999999999992
283,6,1877,Auckland,NEW,New Zealand,36.17S,175.03E,12.346,1.5639999999999985
284,7,1877,Auckland,NEW,New Zealand,36.17S,175.03E,10.949,0.6750000000000019
285,8,1877,Auckland,NEW,New Zealand,36.17S,175.03E,11.711,1.0020000000000016
286,9,1877,Auckland,NEW,New Zealand,36.17S,175.03E,11.914,0.6659999999999991
287,10,1877,Auckland,NEW,New Zealand,36.17S,175.03E,13.665999999999999,0.8539999999999992
288,11,1877,Auckland,NEW,New Zealand,36.17S,175.03E,15.431,0.9369999999999992
289,12,1877,Auckland,NEW,New Zealand,36.17S,175.03E,16.605000000000004,2.0590000000000015
290,1,1878,Auckland,NEW,New Zealand,36.17S,175.03E,16.902,1.3210000000000004
291,2,1878,Auckland,NEW,New Zealand,36.17S,175.03E,17.318,1.7340000000000009
292,3,1878,Auckland,NEW,New Zealand,36.17S,175.03E,17.820999999999998,1.2580000000000011
293,4,1878,Auckland,NEW,New Zealand,36.17S,175.03E,16.77,1.1090000000000009
294,5,1878,Auckland,NEW,New Zealand,36.17S,175.03E,13.406999999999998,1.1399999999999997
295,6,1878,Auckland,NEW,New Zealand,36.17S,175.03E,13.021000000000003,0.9990000000000008
